name_ja,name_kana,name_en
バス,ばす,Bus
普通,ふつう,Local
快速,かいそく,Express
特別快速,とくべつかいそく,Special Express
特急,とっきゅう,Limited Express
はこだてライナー,はこだてらいなー,Hakodate Liner
エアポート,えあぽーと,Airport
ホームライナー,ほーむらいなー,Home Liner
ニセコライナー,にせこらいなー,Niseko Liner
狩勝,かりかち,Karikachi
はなさき,はなさき,Hanasaki
ノサップ,のさっぷ,Nosappu
きたみ,きたみ,Kitami
しれとこ摩周号,しれとこましゅうごう,Shiretoko-Mashū
くしろ湿原ノロッコ,くしろしつげんのろっく,Kushiro-Shitsugen Norokku
なよろ,なよろ,Nayoro
富良野・美瑛ノロッコ,ふらの・びえいのろっく,Furano-Biei Norokku
花たび　そうや,はなたび　そうや,Hanatabi Sōya
ライラック旭山動物園号,らいらっくあさひやまどうぶつえんごう,Lilac Asahihaya Zoo
